"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"R14,R5";"R_1206_HandSoldering";2;"2K2";;;
2;"Y1";"Crystal_HC49-U_Vertical";1;"16MHz";;;
3;"RV1";"Potentiometer_Bourns_3296W_3-8Zoll_Inline_ScrewUp";1;"100K";;;
4;"R8,R10,R7";"R_1206_HandSoldering";3;"270R";;;
5;"P2";"Pin_Header_Straight_1x02_Pitch2.54mm";1;"HFG";;;
6;"U1";"DIP-28_W7.62mm_LongPads";1;"ATmega328-PU";;;
7;"D2";"LED_1206_HandSoldering";1;"RX";;;
8;"MK4,MK3,MK2,MK1";"MountingHole_2.7mm_M2.5";4;"M2.5";;;
9;"C1,C2";"C_1206_HandSoldering";2;"22pF";;;
10;"R9,R6";"R_1206_HandSoldering";2;"1K";;;
11;"C5";"C_1206_HandSoldering";1;"1uF";;;
12;"R4";"R_1206_HandSoldering";1;"3K9";;;
13;"P1";"PinSocket_2x20_P2.54mm_Vertical";1;"RPi";;;
14;"J1";"Pin_Header_Angled_1x06_Pitch2.54mm";1;"RADIO";;;
15;"Q1";"TO-92_Inline_Wide";1;"2N7000";;;
16;"R1";"R_1206_HandSoldering";1;"4K7";;;
17;"R2,R11";"R_1206_HandSoldering";2;"10K";;;
18;"R12,R13";"R_1206_HandSoldering";2;"100K";;;
19;"C3";"C_1206_HandSoldering";1;"4.7uF";;;
20;"C4";"C_1206_HandSoldering";1;"100nF";;;
21;"R3";"R_1206_HandSoldering";1;"8K2";;;
22;"D1";"LED_1206_HandSoldering";1;"TX";;;
23;"REF***";"KiCad-Logo2_6mm_SilkScreen";1;"KiCad-Logo2_6mm_SilkScreen";;;
24;"SW1";"SW_DIP_x1_W7.62mm_Slide";1;"HFG";;;
